fecha,prediccion,limite_inferior,limite_superior
2025-07-16,306.03716932811136,265.7946105338257,346.27972812239705
2025-07-17,289.19775737547826,208.7147184388229,369.6807963121336
2025-07-18,334.26736442306566,302.66027709608954,365.87445175004177
2025-07-21,324.9683821772059,287.3283826252927,362.6083817291191
2025-07-22,322.55156728168004,300.8349521359538,344.26818242740626
2025-07-23,314.8626853054848,288.24287086597235,341.4824997449972
2025-07-24,318.1661176167383,293.64655005286613,342.68568518061045
2025-07-25,319.41927759898897,294.9352646408616,343.90329055711635
2025-07-28,298.90126174786485,241.0306395669241,356.7718839288056
2025-07-29,346.6647006955559,297.4642681502287,395.8651332408831
2025-07-30,334.47911762647425,275.0816746687644,393.8765605841841
2025-07-31,324.9208942221368,301.21617872735266,348.6256097169209
2025-08-01,315.68867649322203,289.9562613034754,341.42109168296867
2025-08-04,312.0909834386117,270.33625742868765,353.8457094485358
2025-08-05,312.3951036192485,272.44415637773596,352.34605086076107
2025-08-06,292.83355435215464,217.71393635388145,367.95317235042785
2025-08-07,339.80526281816964,306.3786962108306,373.2318294255087
2025-08-08,328.2810713455543,285.8897804747057,370.672362216403
2025-08-11,327.59797442632527,307.40243621643873,347.7935126362118
2025-08-12,318.820632856996,295.7498825353764,341.89138317861557
2025-08-13,314.8476237009196,276.4538409223337,353.2414064795055
2025-08-14,315.4650229433354,278.29132623056825,352.6387196561025
2025-08-15,295.64145132293424,223.78727650400592,367.49562614186254
2025-08-18,342.83096054209784,306.54475096907026,379.1171701151254
2025-08-19,331.1256697916281,285.5373168942009,376.71402268905535
2025-08-20,330.5931428718703,313.31412891773164,347.872156826009
2025-08-21,321.6906560689039,301.7695970683644,341.61171506944333
2025-08-22,317.82165997033417,282.3837743207594,353.2595456199089
