fecha,prediccion,limite_inferior,limite_superior
2025-07-16,157.6633693409342,141.85284812828257,173.47389055358582
2025-07-17,152.19344643310023,148.0251628126991,156.36173005350136
2025-07-18,141.0031870036705,112.73891706695592,169.26745694038505
2025-07-21,114.80746191569372,53.70845774688046,175.90646608450697
2025-07-22,101.30922145235954,55.437369495991476,147.1810734087276
2025-07-23,160.85005201792077,160.5586919382405,161.14141209760106
2025-07-24,154.1264309905438,149.72155805231571,158.5313039287719
2025-07-25,154.95445297226712,148.15522218191606,161.75368376261818
2025-07-28,148.05634318714397,145.99127326596002,150.1214131083279
2025-07-29,138.3301183785728,100.98483131170879,175.6754054454368
2025-07-30,111.45795752558561,42.593657501603246,180.32225754956798
2025-07-31,91.1254672156741,50.781478026197846,131.46945640515037
2025-08-01,165.37969649924668,162.7329203111367,168.02647268735666
2025-08-04,155.70704530665256,147.9214906392783,163.49259997402683
2025-08-05,156.91190469331218,147.46497084901475,166.3588385376096
2025-08-06,150.1906766798144,149.95209263805063,150.42926072157817
2025-08-07,140.2943614107436,105.58356775844737,175.0051550630398
2025-08-08,113.50413113860279,47.11496304375497,179.8932992334506
2025-08-11,93.983077753076,54.535911243169195,133.4302442629828
2025-08-12,167.11987927083456,166.69634704641317,167.54341149525595
2025-08-13,157.79720380424925,147.62207130082945,167.97233630766905
2025-08-14,158.95745277103427,147.03417028178333,170.8807352602852
2025-08-15,152.21528590098393,149.4596254756918,154.97094632627605
2025-08-18,142.33916531902122,110.10616778017433,174.5721628578681
2025-08-19,115.53922646735063,51.64673844420686,179.43171449049441
2025-08-20,95.92193084213929,59.158643202198526,132.68521848208005
2025-08-21,169.19127563025046,166.34167172116685,172.04087953933407
2025-08-22,159.82708961394292,147.14514411061228,172.50903511727356
