ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2023-08-09,131,0.9,3,0,2
2023-08-10,141,0.9,4,0,2
2023-08-11,98,0.9,5,0,2
2023-08-14,122,0.9,1,0,2
2023-08-15,25,0.9,2,0,3
2023-08-16,205,0.9,3,0,3
2023-08-17,135,0.9,4,0,3
2023-08-18,100,0.9,5,0,3
2023-08-21,198,0.9000000000000001,1,0,3
2023-08-22,146,0.9,2,0,4
2023-08-23,182,0.9,3,0,4
2023-08-24,131,0.9,4,0,4
2023-08-25,127,0.9,5,0,4
2023-08-28,152,0.9,1,0,4
2023-08-29,146,0.9,2,0,5
2023-08-30,138,0.9,3,0,5
2023-08-31,145,0.9,4,0,5
2023-09-01,109,0.9000000000000001,5,1,1
2023-09-04,166,0.9,1,1,1
2023-09-05,145,0.9,2,1,1
2023-09-06,170,0.9,3,0,1
2023-09-07,173,0.9000000000000001,4,0,1
2023-09-08,111,0.9,5,0,2
2023-09-11,156,0.9,1,0,2
2023-09-12,153,0.9000000000000001,2,0,2
2023-09-13,123,0.9,3,0,2
2023-09-14,134,0.9,4,0,2
2023-09-15,94,0.9000000000000001,5,0,3
2023-09-18,2,0.9,1,0,3
2023-09-20,196,0.9,3,0,3
2023-09-21,159,0.8999999999999999,4,0,3
2023-09-22,146,0.9,5,0,4
2023-09-25,167,0.9,1,0,4
2023-09-26,150,0.9,2,0,4
2023-09-27,148,0.9000000000000001,3,0,4
2023-09-28,162,0.9,4,0,4
2023-09-29,137,0.9,5,0,5
2023-10-02,205,0.9,1,1,1
2023-10-03,182,0.9,2,1,1
2023-10-04,185,0.9,3,1,1
2023-10-05,161,0.9,4,1,1
2023-10-06,124,0.9,5,0,1
2023-10-09,14,0.9,1,0,2
2023-10-10,245,0.9,2,0,2
2023-10-11,145,0.9,3,0,2
2023-10-12,157,0.9,4,0,2
2023-10-13,141,0.9,5,0,2
2023-10-16,184,0.9,1,0,3
2023-10-17,141,0.9,2,0,3
2023-10-18,156,0.9,3,0,3
2023-10-19,182,0.9,4,0,3
2023-10-20,123,0.9,5,0,3
2023-10-23,201,0.9,1,0,4
2023-10-24,155,0.9,2,0,4
2023-10-25,174,0.9,3,0,4
2023-10-26,148,0.9000000000000001,4,0,4
2023-10-27,10,0.9,5,0,4
2023-10-30,203,0.9000000000000001,1,0,5
2023-10-31,144,0.8999999999999999,2,0,5
2023-11-01,6,0.9,3,1,1
2023-11-02,169,0.8999999999999999,4,1,1
2023-11-03,141,0.9,5,1,1
2023-11-06,185,0.9,1,0,1
2023-11-07,198,0.9000000000000001,2,0,1
2023-11-08,163,0.9000000000000001,3,0,2
2023-11-09,136,0.9,4,0,2
2023-11-10,120,0.9,5,0,2
2023-11-13,200,0.9,1,0,2
2023-11-14,176,0.9,2,0,2
2023-11-15,153,0.9000000000000001,3,0,3
2023-11-16,159,0.8999999999999999,4,0,3
2023-11-17,125,0.9,5,0,3
2023-11-20,233,0.9,1,0,3
2023-11-21,161,0.9,2,0,3
2023-11-22,149,0.8999999999999999,3,0,4
2023-11-23,136,0.9,4,0,4
2023-11-24,124,0.9,5,0,4
2023-11-27,154,0.8999999999999999,1,0,4
2023-11-28,132,0.9,2,0,4
2023-11-29,148,0.9000000000000001,3,0,5
2023-11-30,137,0.9,4,0,5
2023-12-01,122,0.9,5,1,1
2023-12-04,169,0.8999999999999999,1,1,1
2023-12-05,161,0.9,2,1,1
2023-12-06,175,0.9,3,0,1
2023-12-07,145,0.9,4,0,1
2023-12-08,15,0.9,5,0,2
2023-12-11,158,0.9000000000000001,1,0,2
2023-12-12,152,0.9,2,0,2
2023-12-13,133,0.9,3,0,2
2023-12-14,128,0.9,4,0,2
2023-12-15,120,0.9,5,0,3
2023-12-18,161,0.9,1,0,3
2023-12-19,127,0.9,2,0,3
2023-12-20,108,0.9,3,0,3
2023-12-21,134,0.9,4,0,3
2023-12-22,100,0.9,5,0,4
2023-12-26,151,0.9,2,0,4
2023-12-27,126,0.9,3,0,4
2023-12-28,110,0.9,4,0,4
2023-12-29,97,0.9,5,0,5
