ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2023-08-18,204,0.9,5,0,3
2023-08-21,288,0.8999999999999999,1,0,3
2023-08-22,308,0.8999999999999999,2,0,4
2023-08-23,283,0.9,3,0,4
2023-08-24,261,0.9,4,0,4
2023-08-25,243,0.9,5,0,4
2023-08-28,304,0.9,1,0,4
2023-08-29,216,0.9,2,0,5
2023-08-30,254,0.9,3,0,5
2023-08-31,217,0.9,4,0,5
2023-09-01,223,0.9,5,1,1
2023-09-04,262,0.9,1,1,1
2023-09-05,238,0.9,2,1,1
2023-09-06,294,0.9,3,0,1
2023-09-07,280,0.9,4,0,1
2023-09-08,204,0.9,5,0,2
2023-09-11,263,0.9,1,0,2
2023-09-12,239,0.9,2,0,2
2023-09-13,261,0.9,3,0,2
2023-09-14,225,0.9,4,0,2
2023-09-15,133,0.9,5,0,3
2023-09-20,284,0.9,3,0,3
2023-09-21,214,0.9,4,0,3
2023-09-22,268,0.9,5,0,4
2023-09-25,251,0.9,1,0,4
2023-09-26,177,0.9,2,0,4
2023-09-27,145,0.9,3,0,4
2023-09-28,208,0.9000000000000001,4,0,4
2023-09-29,174,0.9,5,0,5
2023-10-02,356,0.9000000000000001,1,1,1
2023-10-03,275,0.9,2,1,1
2023-10-04,390,0.9,3,1,1
2023-10-05,462,0.9,4,1,1
2023-10-06,224,0.9,5,0,1
2023-10-10,363,0.9,2,0,2
2023-10-11,303,0.8999999999999999,3,0,2
2023-10-12,389,0.9,4,0,2
2023-10-13,286,0.9000000000000001,5,0,2
2023-10-16,373,0.9,1,0,3
2023-10-17,411,0.9000000000000001,2,0,3
2023-10-18,349,0.9,3,0,3
2023-10-19,320,0.9,4,0,3
2023-10-20,256,0.9,5,0,3
2023-10-23,354,0.9,1,0,4
2023-10-24,361,0.9000000000000001,2,0,4
2023-10-25,292,0.9,3,0,4
2023-10-26,264,0.9,4,0,4
2023-10-30,371,0.9000000000000001,1,0,5
2023-10-31,392,0.9,2,0,5
2023-11-02,397,0.9,4,1,1
2023-11-03,235,0.9,5,1,1
2023-11-06,426,0.9000000000000001,1,0,1
2023-11-07,388,0.9,2,0,1
2023-11-08,333,0.8999999999999999,3,0,2
2023-11-09,282,0.9,4,0,2
2023-11-10,224,0.9,5,0,2
2023-11-13,458,0.9,1,0,2
2023-11-14,336,0.9000000000000001,2,0,2
2023-11-15,241,0.9,3,0,3
2023-11-16,334,0.9,4,0,3
2023-11-17,307,0.9,5,0,3
2023-11-20,474,0.9,1,0,3
2023-11-21,290,0.9,2,0,3
2023-11-22,441,0.9,3,0,4
2023-11-23,359,0.9,4,0,4
2023-11-24,318,0.8999999999999999,5,0,4
2023-11-27,441,0.9,1,0,4
2023-11-28,367,0.9,2,0,4
2023-11-29,297,0.9,3,0,5
2023-11-30,294,0.9,4,0,5
2023-12-01,376,0.9000000000000001,5,1,1
2023-12-04,415,0.9,1,1,1
2023-12-05,478,0.9,2,1,1
2023-12-06,408,0.9,3,0,1
2023-12-07,362,0.9,4,0,1
2023-12-11,334,0.9,1,0,2
2023-12-12,417,0.9,2,0,2
2023-12-13,355,0.9,3,0,2
2023-12-14,295,0.9,4,0,2
2023-12-15,364,0.9,5,0,3
2023-12-18,481,0.9,1,0,3
2023-12-19,361,0.9000000000000001,2,0,3
2023-12-20,344,0.9,3,0,3
2023-12-21,235,0.9,4,0,3
2023-12-22,270,0.9,5,0,4
2023-12-26,371,0.9000000000000001,2,0,4
2023-12-27,292,0.9,3,0,4
2023-12-28,317,0.9,4,0,4
2023-12-29,288,0.8999999999999999,5,0,5
2024-01-02,366,0.9000000000000001,2,1,1
2024-01-03,308,0.8999999999999999,3,1,1
2024-01-04,331,0.9000000000000001,4,1,1
2024-01-05,238,0.9,5,1,1
2024-01-08,449,0.9,1,0,2
2024-01-09,574,0.9,2,0,2
2024-01-10,623,0.9,3,0,2
2024-01-11,627,0.9000000000000001,4,0,2
2024-01-12,212,0.9,5,0,2
2024-01-15,501,0.9,1,0,3
2024-01-16,598,0.9,2,0,3
2024-01-17,522,0.9,3,0,3
2024-01-18,579,0.9,4,0,3
2024-01-19,604,0.9,5,0,3
2024-01-22,557,0.9,1,0,4
2024-01-23,519,0.9,2,0,4
2024-01-24,585,0.9,3,0,4
2024-01-25,584,0.9,4,0,4
2024-01-26,509,0.9,5,0,4
2024-01-29,445,0.9,1,0,5
2024-01-30,580,0.9,2,0,5
2024-01-31,419,0.9,3,0,5
2024-02-01,474,0.9,4,1,1
2024-02-02,237,0.9,5,1,1
2024-02-05,359,0.9,1,1,1
2024-02-06,412,0.9,2,0,1
2024-02-07,397,0.9,3,0,1
2024-02-08,425,0.9,4,0,2
2024-02-09,189,0.9,5,0,2
2024-02-12,480,0.9,1,0,2
2024-02-13,321,0.9000000000000001,2,0,2
2024-02-14,259,0.9,3,0,2
2024-02-15,256,0.9,4,0,3
2024-02-16,276,0.9,5,0,3
2024-02-19,517,0.9,1,0,3
2024-02-20,410,0.9,2,0,3
2024-02-21,357,0.9,3,0,3
2024-02-22,298,0.8999999999999999,4,0,4
2024-02-23,359,0.9,5,0,4
2024-02-26,325,0.9,1,0,4
2024-02-27,357,0.9,2,0,4
2024-02-28,306,0.9000000000000001,3,0,4
2024-02-29,232,0.9,4,0,5
2024-03-01,283,0.9,5,1,1
2024-03-04,342,0.9,1,1,1
2024-03-05,369,0.9,2,1,1
2024-03-06,447,0.9,3,0,1
2024-03-07,309,0.9,4,0,1
2024-03-08,379,0.9,5,0,2
2024-03-11,450,0.9,1,0,2
2024-03-12,418,0.9,2,0,2
2024-03-13,477,0.9,3,0,2
2024-03-14,537,0.9,4,0,2
2024-03-15,497,0.9,5,0,3
2024-03-18,413,0.9,1,0,3
2024-03-19,461,0.9,2,0,3
2024-03-20,385,0.9,3,0,3
2024-03-21,424,0.9,4,0,3
2024-03-22,457,0.9,5,0,4
2024-03-25,338,0.8999999999999999,1,0,4
2024-03-26,364,0.9,2,0,4
2024-03-27,469,0.9,3,0,4
2024-03-28,523,0.9,4,0,4
2024-04-01,521,0.9,1,1,1
2024-04-02,481,0.9,2,1,1
2024-04-03,352,0.9,3,1,1
2024-04-04,289,0.9000000000000001,4,1,1
2024-04-05,328,0.8999999999999999,5,1,1
2024-04-08,474,0.9,1,0,2
2024-04-09,523,0.9,2,0,2
2024-04-10,536,0.9,3,0,2
2024-04-11,364,0.9,4,0,2
2024-04-12,495,0.9,5,0,2
2024-04-15,548,0.9,1,0,3
2024-04-16,487,0.9,2,0,3
2024-04-17,427,0.9,3,0,3
2024-04-18,379,0.9,4,0,3
2024-04-19,468,0.9,5,0,3
2024-04-22,437,0.9,1,0,4
2024-04-23,464,0.9,2,0,4
2024-04-24,322,0.9,3,0,4
2024-04-25,580,0.9,4,0,4
2024-04-26,602,0.9000000000000001,5,0,4
2024-04-29,537,0.9,1,0,5
2024-04-30,469,0.9,2,0,5
2024-05-02,473,0.9,4,1,1
2024-05-03,596,0.8999999999999999,5,1,1
2024-05-06,447,0.9,1,0,1
2024-05-07,453,0.9,2,0,1
2024-05-08,415,0.9,3,0,2
2024-05-09,485,0.9,4,0,2
2024-05-10,382,0.9,5,0,2
2024-05-13,675,0.9,1,0,2
2024-05-14,533,0.9,2,0,2
2024-05-15,410,0.9,3,0,3
2024-05-16,418,0.9,4,0,3
2024-05-17,434,0.9,5,0,3
2024-05-20,504,0.9,1,0,3
2024-05-22,577,0.9000000000000001,3,0,4
2024-05-23,349,0.9,4,0,4
2024-05-24,427,0.9,5,0,4
2024-05-27,517,0.9,1,0,4
2024-05-28,333,0.8999999999999999,2,0,4
2024-05-29,363,0.9,3,0,5
2024-05-30,254,0.9,4,0,5
2024-05-31,305,0.9,5,0,5
2024-06-03,418,0.9,1,1,1
2024-06-04,348,0.9,2,1,1
2024-06-05,391,0.9000000000000001,3,1,1
2024-06-06,372,0.9,4,0,1
2024-06-07,308,0.8999999999999999,5,0,1
2024-06-10,456,0.9,1,0,2
2024-06-11,533,0.9,2,0,2
2024-06-12,625,0.9,3,0,2
2024-06-13,539,0.9,4,0,2
2024-06-14,414,0.9,5,0,2
2024-06-17,302,0.9,1,0,3
2024-06-18,470,0.9,2,0,3
2024-06-19,348,0.9,3,0,3
2024-06-21,435,0.9,5,0,3
2024-06-24,596,0.8999999999999999,1,0,4
2024-06-25,500,0.9,2,0,4
2024-06-26,395,0.9,3,0,4
2024-06-27,355,0.9,4,0,4
2024-06-28,318,0.8999999999999999,5,0,4
2024-07-01,573,0.9000000000000001,1,1,1
2024-07-02,366,0.9000000000000001,2,1,1
2024-07-03,295,0.9,3,1,1
2024-07-04,274,0.9,4,1,1
2024-07-05,317,0.9,5,1,1
2024-07-08,471,0.9,1,0,2
2024-07-09,392,0.9,2,0,2
2024-07-10,474,0.9,3,0,2
2024-07-11,262,0.9,4,0,2
2024-07-12,270,0.9,5,0,2
2024-07-15,368,0.9,1,0,3
2024-07-17,445,0.9,3,0,3
2024-07-18,258,0.9,4,0,3
2024-07-19,231,0.9,5,0,3
2024-07-22,390,0.9,1,0,4
2024-07-23,361,0.9000000000000001,2,0,4
2024-07-24,324,0.9,3,0,4
2024-07-25,301,0.9000000000000001,4,0,4
2024-07-26,380,0.9,5,0,4
2024-07-29,381,0.9000000000000001,1,0,5
2024-07-30,415,0.9,2,0,5
2024-07-31,323,0.8999999999999999,3,0,5
2024-08-01,307,0.9,4,1,1
2024-08-02,606,0.8999999999999999,5,1,1
2024-08-05,363,0.9,1,1,1
2024-08-06,391,0.9000000000000001,2,0,1
2024-08-07,526,0.9,3,0,1
2024-08-08,530,0.9,4,0,2
2024-08-09,376,0.9000000000000001,5,0,2
2024-08-12,410,0.9,1,0,2
2024-08-13,365,0.9,2,0,2
2024-08-14,381,0.9000000000000001,3,0,2
2024-08-16,358,0.9,5,0,3
2024-08-19,461,0.9,1,0,3
2024-08-20,359,0.9,2,0,3
2024-08-21,353,0.9,3,0,3
2024-08-22,348,0.9,4,0,4
2024-08-23,476,0.9,5,0,4
2024-08-26,423,0.9,1,0,4
2024-08-27,363,0.9,2,0,4
2024-08-28,335,0.9,3,0,4
2024-08-29,423,0.9,4,0,5
2024-08-30,353,0.9,5,0,5
2024-09-02,481,0.9,1,1,1
2024-09-03,487,0.9,2,1,1
2024-09-04,464,0.9,3,1,1
2024-09-05,686,0.9,4,1,1
2024-09-06,604,0.9,5,0,1
2024-09-09,541,0.9,1,0,2
2024-09-10,442,0.9,2,0,2
2024-09-11,323,0.8999999999999999,3,0,2
2024-09-12,327,0.9,4,0,2
2024-09-13,464,0.9,5,0,2
2024-09-16,543,0.9,1,0,3
2024-09-17,242,0.9,2,0,3
2024-09-23,395,0.9,1,0,4
2024-09-24,366,0.9000000000000001,2,0,4
2024-09-25,392,0.9,3,0,4
2024-09-26,455,0.9,4,0,4
2024-09-27,356,0.9000000000000001,5,0,4
2024-09-30,394,0.9,1,0,5
2024-10-01,339,0.9,2,1,1
2024-10-02,326,0.9000000000000001,3,1,1
2024-10-03,373,0.9,4,1,1
2024-10-04,392,0.9,5,1,1
2024-10-07,436,0.9000000000000001,1,0,1
2024-10-08,393,0.9,2,0,2
2024-10-09,358,0.9,3,0,2
2024-10-10,378,0.9,4,0,2
2024-10-11,518,0.9,5,0,2
2024-10-14,487,0.9,1,0,2
2024-10-15,596,0.8999999999999999,2,0,3
2024-10-16,574,0.9,3,0,3
2024-10-17,600,0.9,4,0,3
2024-10-18,562,0.9,5,0,3
